Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose
26.503510136067682,female,1,own,little,rich,2466.4670766811428,15.533478733998825,radio/TV
53.49145672762449,male,1,free,quite rich,none,2625.417427939277,9.48182775698509,car
30.662730897146957,male,3,own,little,moderate,6340.519242595412,28.054792754322875,car
38.326145903901185,male,2,own,little,none,3819.428210848047,37.60440832056524,car
49.10301805717469,male,2,own,little,none,3577.0745430339352,19.502442752507474,furniture/equipment
27.48821725696998,female,2,rent,moderate,moderate,994.0967150788266,12.921710652429683,furniture/equipment
34.162241085704665,female,2,own,little,moderate,3508.6593274701195,18.43215075470607,furniture/equipment
57.40451676523081,male,3,own,rich,none,4891.01585683082,25.598271560582003,business
26.963652682144613,male,2,own,little,moderate,15006.64419760864,51.17894069231193,business
56.24701046712877,female,2,rent,little,moderate,7884.246124878618,36.97325043209812,car
57.517007422661386,male,2,own,rich,moderate,1371.6843096174634,12.796506634501167,car
45.527345936471285,male,3,own,none,none,3670.4974231831543,12.969103660419012,car
26.579725620556804,female,2,own,little,none,6087.477285384151,30.82647311625335,radio/TV
49.62820952186162,male,2,own,little,little,1094.6966155056052,12.379799322956579,car
45.41431723036885,male,1,own,little,little,1364.8342086620498,12.84423875204244,car
43.891887968678645,male,2,free,none,none,10883.028271122848,37.995476623794474,car
37.674289806848684,male,2,own,none,moderate,4094.2596693110067,22.281620035600604,furniture/equipment
35.105383759128856,male,1,free,moderate,moderate,4060.359334929925,50.72696564774448,business
53.12760629756183,male,2,rent,quite rich,none,1275.3536448531158,6.346883510511377,car
25.065836417617664,male,2,own,little,rich,3081.6098407354552,12.28164668920534,radio/TV
41.87335561759227,female,2,rent,little,moderate,3239.018239110672,19.277034374383724,furniture/equipment
49.17717734043034,male,2,free,none,little,8714.113090708895,38.642104794548004,car
51.65432689550589,male,2,own,little,none,2356.0766141341132,21.95365588749143,furniture/equipment
41.98872082727466,male,1,rent,little,little,698.7094448125999,12.589565532044674,education
30.413664031169347,male,3,own,little,moderate,11771.064649931575,24.465068398773255,vacation/others
25.315795319235228,male,2,rent,little,little,6510.075561250698,31.808552853610706,car
36.809153601985,male,1,own,little,none,2756.414664763971,25.47458757202279,radio/TV
47.968195094651016,female,2,own,little,moderate,2462.9500136945417,7.341293257620096,radio/TV
28.84869465266558,male,2,own,little,none,8976.513532191644,25.73968961273784,business
23.66671327195921,female,2,rent,little,little,2512.263696759948,31.299553661412034,furniture/equipment
39.49289165043717,female,2,rent,little,little,7976.767693700342,50.942021688857864,business
36.94583777248091,male,1,own,little,little,1493.6006045103056,6.177640279356947,furniture/equipment
58.39664147695151,female,2,own,little,little,1682.7172789749018,25.188694967580368,radio/TV
28.684658943739553,female,2,own,little,little,2457.912571814487,18.837232467154983,radio/TV
36.423851838002996,male,2,own,none,moderate,2325.929409065941,31.635184753224564,car
36.81508547257059,male,2,own,quite rich,little,1722.9796533609735,12.511313537079992,radio/TV
63.47843474170042,male,2,free,none,moderate,1306.1256398842181,18.8526698655582,education
30.00991615039748,female,2,own,little,none,523.5978175166056,6.399125660572981,radio/TV
25.848409118735525,female,2,rent,little,little,4408.963490026912,49.980706332251316,business
45.624762356239074,male,2,own,moderate,moderate,1901.3027533901582,12.214421495822716,car
37.21940861103501,male,2,free,none,none,900.7948545335224,7.594941746588759,radio/TV
33.64844476160326,male,2,own,rich,moderate,2891.658118637329,22.63021071305001,furniture/equipment
35.10248923255696,male,2,own,little,none,5395.588226914012,24.579713906349305,furniture/equipment
51.31118438571008,male,2,own,none,none,2433.5125457116274,12.76552987325885,radio/TV
50.446388312929095,male,1,own,little,none,2589.8502237689495,24.958572110135357,car
45.60663906928912,male,2,free,little,little,1380.4589534041972,25.32647386335891,car
41.263866717820235,male,2,own,moderate,moderate,2605.090423125753,31.6765344774081,business
67.56169294744089,male,0,own,little,little,3635.4574567157406,43.90309744773429,repairs
30.12413158237602,male,2,free,little,little,2271.2187140856527,12.411896240259264,radio/TV
31.787616572057654,male,2,own,little,none,4725.640439929515,15.542837684305121,car
23.940087812940426,male,2,own,moderate,moderate,6930.519816784597,49.52045576113801,car
42.938227572799825,male,3,own,little,none,6731.162772661429,18.60054400503704,car
27.57613356934499,male,3,own,little,none,4625.727942252691,37.75163163116447,radio/TV
32.64230361842897,female,2,rent,none,none,3081.5394582785475,10.35684800217785,car
33.28257198417987,male,2,own,little,little,3323.2044503565485,19.145538743656545,business
23.034334702181305,male,2,rent,little,little,963.9002933488562,12.956939077280623,education
41.62918238277896,male,1,own,little,little,3510.8667771217897,8.307191481380794,car
31.000311595953544,male,1,own,little,little,3747.2985514138827,12.657457080128491,furniture/equipment
51.5780762239751,male,2,own,moderate,rich,1189.7600524752083,9.53994331985453,radio/TV
63.87733858089233,female,2,own,none,none,2151.8559359154037,12.713280545020625,education
42.65984773591598,male,2,own,little,rich,2201.5213462543875,6.30911463214993,furniture/equipment
36.171721605799824,male,2,own,quite rich,moderate,1475.2644168580805,14.907951077140723,business
39.37786928422838,male,3,own,little,none,5870.184419269031,38.147219245930074,car
32.735644182820494,male,2,own,little,none,4713.792535379468,18.45444152796217,radio/TV
51.37564597832868,male,1,own,little,none,682.4003305266457,12.808597455453427,car
67.07623879806117,male,3,own,little,rich,2055.1541194902625,32.03237450236004,business
27.39927659255473,female,3,own,little,none,11506.895218515549,37.25043400499142,furniture/equipment
24.13328792030052,female,1,own,little,moderate,2248.2184523694227,13.659863837216376,radio/TV
27.376406355161077,male,1,own,little,moderate,660.7704503130954,12.763998958274659,radio/TV
